1499990400000,0.08,0.091033,0.08,0.090993,1942.057
1500076800000,0.090993,0.093699,0.087127,0.087635,4013.066
1500163200000,0.087508,0.087635,0.075591,0.082241,8904.158
1500249600000,0.082368,0.088394,0.081699,0.087537,6650.933
1500336000000,0.087831,0.109068,0.084777,0.107732,7245.741
1500422400000,0.107732,0.108732,0.08429,0.086853,7384.976
1500508800000,0.087144,0.095252,0.074982,0.080509,6395.16
1500595200000,0.080383,0.087511,0.079635,0.081581,7434.389
1500681600000,0.081586,0.084733,0.079856,0.082474,7979.899
1500768000000,0.082312,0.08456,0.081417,0.083533,6340.799
1500854400000,0.083438,0.083973,0.082265,0.083161,7380.244
1500940800000,0.083149,0.083149,0.075482,0.079654,7845.032
1501027200000,0.079676,0.081172,0.07761,0.079892,7496.738
1501113600000,0.079815,0.081867,0.077059,0.077449,8311.206
1501200000000,0.077059,0.077859,0.066827,0.068802,11013.824
1501286400000,0.068797,0.076814,0.064335,0.075773,14305.369
1501372800000,0.076009,0.076684,0.069876,0.070109,12989.765
1501459200000,0.070406,0.073341,0.06759,0.072484,12029.45
1501545600000,0.072459,0.08526,0.07237,0.083568,13623.227
1501632000000,0.083568,0.084967,0.07963,0.08016,13678.63
1501718400000,0.080168,0.083795,0.078277,0.078965,11389.116
1501804800000,0.078965,0.08071,0.076332,0.076475,12523.985
1501891200000,0.076563,0.079322,0.071325,0.07916,12348.255
1501977600000,0.07916,0.083151,0.07851,0.081029,13069.284
1502064000000,0.081029,0.082475,0.079547,0.081171,13667.775
1502150400000,0.081171,0.087444,0.078,0.085296,14885.592
1502236800000,0.085331,0.093578,0.080372,0.083159,15503.613
1502323200000,0.083303,0.09092,0.082489,0.084466,16483.655
1502409600000,0.084613,0.087178,0.083167,0.084941,18017.655
1502496000000,0.08495,0.087601,0.08001,0.080163,15210.946
1502582400000,0.080182,0.080459,0.068007,0.073824,20955.915
1502668800000,0.07385,0.079911,0.068535,0.070899,28508.69
1502755200000,0.070899,0.0752,0.066161,0.069395,28889.165
1502841600000,0.069395,0.076669,0.06831,0.069743,22035.269
1502928000000,0.069735,0.072254,0.068077,0.070479,24002.431
1503014400000,0.070479,0.073005,0.069565,0.071433,29861.756
1503100800000,0.071187,0.073741,0.069925,0.070036,19918.665
1503187200000,0.070347,0.073,0.069,0.072198,22530.294
1503273600000,0.072198,0.088658,0.071509,0.08052,48283.416
1503360000000,0.080688,0.0845,0.07001,0.076825,42660.05
1503446400000,0.076794,0.079689,0.074164,0.07706,41661.392
1503532800000,0.07706,0.078649,0.074567,0.075339,44430.692
1503619200000,0.075302,0.0779,0.074742,0.076587,35690.377
1503705600000,0.076593,0.078708,0.075269,0.076647,31475.752
1503792000000,0.076647,0.0826,0.075377,0.080436,36949.127
1503878400000,0.080649,0.081884,0.078501,0.079632,28745.668
1503964800000,0.079632,0.084402,0.079037,0.081551,32574.221
1504051200000,0.081551,0.085085,0.080776,0.0842,30766.059
1504137600000,0.084032,0.084198,0.081598,0.081967,26520.598
1504224000000,0.081967,0.084408,0.080015,0.080849,28097.572
1504310400000,0.080849,0.08274,0.073861,0.076396,32502.566
1504396800000,0.076396,0.07886,0.07374,0.075938,42102.842
1504483200000,0.076031,0.076071,0.065,0.07032,50413.571
1504569600000,0.070276,0.072154,0.065655,0.071788,41673.107
1504656000000,0.071788,0.073871,0.070954,0.072821,34711.436
1504742400000,0.072821,0.07299,0.065,0.0716,16057.518
1504828800000,0.0716,0.07251,0.06555,0.070246,22241.963
1504915200000,0.070246,0.071678,0.068033,0.070151,8597.585
1505001600000,0.0701,0.0711,0.068181,0.070127,7873.985
1505088000000,0.070599,0.071998,0.068755,0.07063,7460.722
1505174400000,0.0706,0.072784,0.068,0.0706,14505.753
1505260800000,0.070763,0.071498,0.067356,0.071468,7572.948
1505347200000,0.071398,0.071509,0.067101,0.068765,11387.596
1505433600000,0.068047,0.071,0.065,0.069512,10770.278
1505520000000,0.069519,0.070036,0.066739,0.068315,8247.263
1505606400000,0.068372,0.070488,0.067234,0.069848,4193.778
1505692800000,0.069848,0.075913,0.069615,0.0731,5846.332
1505779200000,0.073045,0.073523,0.0718,0.072525,8900.485
1505865600000,0.072454,0.0734,0.0718,0.073345,16794.262
1505952000000,0.073345,0.073799,0.070565,0.07141,24583.899
1506038400000,0.07141,0.072964,0.071,0.072964,24350.635
1506124800000,0.072874,0.075694,0.071964,0.075557,23028.2
1506211200000,0.075556,0.077998,0.075398,0.077123,28776.606
1506297600000,0.077184,0.0773,0.074527,0.075174,34549.321
1506384000000,0.075173,0.07595,0.073392,0.074491,35669.831
1506470400000,0.074492,0.074731,0.071977,0.073445,44263.081
1506556800000,0.073465,0.0737,0.071509,0.072509,52476.402
1506643200000,0.072507,0.07259,0.069015,0.07091,40578.601
1506729600000,0.070878,0.0733,0.069401,0.070062,37140.806
1506816000000,0.070181,0.071484,0.068109,0.069105,38693.377
1506902400000,0.069104,0.069299,0.0665,0.068658,40647.555
1506988800000,0.06829,0.06902,0.066808,0.068016,37219.457
1507075200000,0.06775,0.070633,0.067477,0.069249,34536.247
1507161600000,0.069147,0.070223,0.067666,0.068509,27871.849
1507248000000,0.068509,0.071062,0.067976,0.070986,31667.564
1507334400000,0.070779,0.072239,0.069733,0.070365,28812.37
1507420800000,0.070262,0.07062,0.066554,0.067053,35998.516
1507507200000,0.066964,0.067457,0.058516,0.06215,46465.45
1507593600000,0.062316,0.066501,0.059963,0.063038,44208.704
1507680000000,0.063047,0.064117,0.061651,0.063065,30902.734
1507766400000,0.063064,0.0635,0.055748,0.055763,39216.6
1507852800000,0.055763,0.062496,0.051084,0.060017,58977.006
1507939200000,0.060019,0.0621,0.057431,0.058679,26992.222
1508025600000,0.058679,0.060999,0.057413,0.059281,28566.596
1508112000000,0.059107,0.062166,0.057721,0.058294,33150.297
